Compound ID,InChIKey,SMILES,logS,logP,MW
C5770,HQSCPPCMBMFJJN-UHFFFAOYSA-N,N#Cc1ccc(cc1)Br,-2.869360581,2.32078,182.017
C3233,GGHPAKFFUZUEKL-UHFFFAOYSA-M,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],-4.833880186,6.0253,344.486
C8731,PARMADWNFXEEFC-UHFFFAOYSA-N,OS(=O)(=O)O.CCCCNCC(c1ccc(cc1)O)O.CCCCNCC(c1ccc(cc1)O)O,-0.605986481,4.8404,516.648
C8863,WRJPSSPFHGNBMG-UHFFFAOYSA-N,CC(=O)OC1CN2CCC1CC2,-0.428432597,0.5816,169.221
C1163,ACBMYYVZWKYLIP-UHFFFAOYSA-N,CCCCCC(O)(C)C,-1.72,2.3376,130.228
C7194,HCJOGZBBWGQKGC-UHFFFAOYSA-N,CC1CCCc2n1c(=O)ccn2,-1.965706857,1.1406,164.204
C4040,LTMHDMANZUZIPE-PUGKRICDSA-N,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)[C@H](O)C[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,-4.081047651,2.2181,780.938
C3684,NEAUUNBQQPLQGJ-UHFFFAOYSA-N,CC(Cc1ccc(cc1)CC(=O)N1C2CCC1CN(C2)C)C,-4.360495145,2.6084,300.438
C706,RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,-3.05,2.9934,147.002
C1987,UFDCSHQNNVQXAS-UHFFFAOYSA-N,CSc1ccc2c(c1)N(CCC1CCCCN1)c1c(S2)cccc1,-7.227833101,5.9372,356.548
C3022,LZSHSTGCCZALGE-UHFFFAOYSA-N,CC[NH+](CCOC(=O)n1c2ccc(cc2c2c1cccc2)N)CC.[Cl-],-5.075678997,-0.1287,361.866
C286,ZSLBEMKAJDJVND-UHFFFAOYSA-N,CCn1c2ncccc2c(=S)n(c2c1cccc2)C,-4.71,3.8396,269.365
C2523,FHIKZROVIDCMJA-UHFFFAOYSA-N,CCCC(c1ccccc1)(c1ccccc1)C(=O)OCCN(CC)CC.Cl,-5.790995146,5.4598,389.959
C325,NHPPIJMARIVBGU-UHFFFAOYSA-N,Ic1cccc2c1cccc2,-4.5500002,3.4444,254.067
C944,KQPKPCNLIDLUMF-QMMMGPOBSA-N,CCC[C@@H](C1(CC=C)C(=O)NC(=O)NC1=O)C,-2.3599999,2.0087,238.283
C8754,IFXPDZHFZMVVKL-UHFFFAOYSA-N,CNC(=O)Oc1cccc(c1)C[NH+](C)C.[Cl-],-0.573089923,-2.5558,244.718
C139,XQUXKZZNEFRCAW-SFHVURJKSA-N,N#C[C@@H](c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)(C)C,-6.0300002,5.26898,349.423
C6582,MATCWAFODDJQNN-UHFFFAOYSA-M,CCC1(OC(=O)[N-]C1=O)c1ccccc1.[Na+],-2.356398789,1.6729,227.192
C9181,GXBCCUBTQFNGFA-BJMVGYQFSA-N,NC(=S)N/N=C/c1ccccn1,0.105903163,1.3399,180.23
C8191,ICFXZZFWRWNZMA-UHFFFAOYSA-N,CCN(C(C(=O)c1ccccc1)C)CC.Cl,-1.19869122,3.4016,241.757
C8149,VAJCSPZKMVQIAP-UHFFFAOYSA-N,Cc1ccc2c(c1)C(=O)C(=O)N2,-1.23090728,1.2678,161.157
C7527,FPWIQSIIEYYWPP-UHFFFAOYSA-N,OC(CN1CCCCC1)COc1cccc(c1)C(=O)C,-1.722890804,2.0527,277.359
C5446,GOZBHBFUQHMKQB-UHFFFAOYSA-N,CCN(CC(=O)Nc1c(C)cc(cc1C)C)CC,-3.07019964,2.9651,248.364
C7275,OCYJXSUPZMNXEN-RKDXNWHRSA-N,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N,-1.911782265,1.1713,212.203
C1753,FTQDJVZNPJRVPG-XWEVEMRCSA-N,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C,-10.59594624,6.9834,512.721
C5716,YEJIOOCWBINOSK-UHFFFAOYSA-N,FCCCCCCS,-2.903817459,2.4461,136.231
C3493,UKLJMHXGZUJRTL-UHFFFAOYSA-L,[O-]S(=O)(=O)NC1CCCCC1.[O-]S(=O)(=O)NC1CCCCC1.[Ca+2],-4.542133788,3.6812,396.537
C6852,XYGXSCVUMIDZRR-UHFFFAOYSA-N,CCCCCC1(CC)C(=O)NC(=O)NC1=O,-2.175661546,1.9867,226.272
C314,SQNZJJAZBFDUTD-UHFFFAOYSA-N,Cc1cc(C)c(cc1C)C,-4.5900002,2.9202,134.218
C3777,HOGNMZSUBOLTHT-UHFFFAOYSA-N,CCCN1CCc2c(C1)cccc2NC(=O)c1ccc(cc1)OC,-4.268074939,3.7265,324.417
C8595,QVGLHVDBDYLFON-UHFFFAOYSA-M,Cn1c(=O)c2[n-]cnc2n(c1=O)C.[Na+],-0.797815726,-1.3256,206.178
C1081,XSTXAVWGXDQKEL-UHFFFAOYSA-N,ClC=C(Cl)Cl,-1.96,2.5017,131.388
C2102,DNFFUBYXDRGKLH-UHFFFAOYSA-N,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])O.CCCCOc1ccc(cc1)OCC(=O)N(c1ccc(cc1)OC)C(CN(CC)CC)C,-6.793754166,7.7028,671.695
C934,OFCNXPDARWKPPY-UHFFFAOYSA-N,O=c1[nH]cnc2c1cn[nH]2,-2.3800001,-0.3538,136.111
C2117,YGRPUMAHIJPCOE-UHFFFAOYSA-N,Clc1ccccc1CNCC1CCC(=CC1)CNCc1ccccc1Cl.Cl.Cl,-6.758570063,7.9851,462.283
C6067,OAUQNCDVPLLEAH-UHFFFAOYSA-N,CCCCC(COC(=O)N)(COC(=O)N)CC,-2.674639049,3.1642,246.303
C5802,LGCMKPRGGJRYGM-UHFFFAOYSA-N,Oc1ccc(cc1)NC(=O)c1ccccc1O,-2.849467917,2.4231,229.231
C5524,ZDPACSAHMZADFZ-UHFFFAOYSA-N,COc1cc(OC)cc(c1C(=O)CCCN1CCCC1)OC.Cl,-3.02314889,3.511,343.846
C5742,BSUVNHZVLSEXMX-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)C1(CO1)C(=O)N,-2.885593345,2.4045,232.063
C1633,GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,0.83999997,0.1778,59.1103
C2220,DTVJXCOMJLLMAK-UHFFFAOYSA-N,O=C(N1c2ccccc2Sc2c1nccc2)OCCOCCN1CCCCC1,-6.429800114,4.3263,399.506
C1911,TYUMAYSMJLPFAN-UHFFFAOYSA-N,COc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O)O,-7.788082722,5.437,552.484
C4647,PZTCVADFMACKLU-UEPZRUIBSA-N,N[C@H](C(=O)O)CCCCNCNC(=O)C1=C(O)[C@@]2([C@H]([C@@H](C1=O)N(C)C)C[C@H]1C(=C(O)c3c([C@@]1(C)O)cccc3O)C2=O)O,-3.642704556,0.8713,602.633
C4640,DGIRRQAONAAJCV-UHFFFAOYSA-N,OC(=O)Cc1ccc2c(c1)sc(n2)c1ccccc1,-3.646361785,3.5904,269.318
C4009,FDTSMJLKASTENG-UHFFFAOYSA-N,CCC(=O)C(C(C[NH+](C)C)C)(c1ccccc1)c1ccccc1.[Br-],-4.107171022,-0.2636,390.357
C4440,PBSOJKPTQWWJJD-ZBDZJSKLSA-N,O[C@H]1CC[C@]2([C@](C1)(O)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,-3.768475227,3.3568,402.524
C9823,SFLSHLFXELFNJZ-QMMMGPOBSA-N,NC[C@@H](c1ccc(c(c1)O)O)O,0.771651005,0.7902,169.178
C7210,WKGXYQFOCVYPAC-UHFFFAOYSA-N,NC(=O)OCC(c1ccccc1)COC(=O)N,-1.951975275,2.3614,238.24
C6050,QGMRQYFBGABWDR-OGFXRTJISA-M,CCC[C@H](C1(CC)C(=O)[N-]C(=O)NC1=O)C.[Na+],-2.684785887,1.6284,248.254
C4291,LGLQBSMADBVAHQ-UHFFFAOYSA-N,CCN(c1nc(nc(n1)N(C)C)N(C)C)CC,-3.885413337,0.8498,238.333
C644,SIULLDWIXYYVCU-UHFFFAOYSA-N,CC(=O)Nc1ccc(cc1)I,-3.25,2.3226,261.06
C5098,NAILKKRDWBJCNH-UHFFFAOYSA-N,CCCc1cccc(c1O)CCC,-3.313121418,3.2972,178.271
C873,QILSFLSDHQAZET-UHFFFAOYSA-N,OC(c1ccccc1)c1ccccc1,-2.55,2.7683,184.234
C135,PTFJIKYUEPWBMS-UHFFFAOYSA-N,CCN(c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])CC(=C)C,-6.1199999,4.9706,333.263
C6949,NNWSPTNNCFFSLD-UHFFFAOYSA-N,OCC(COc1cccc(c1)C)(CO)CO,-2.121634705,0.3371,226.269
C5349,FVYNXBCYHZXKIV-UHFFFAOYSA-N,CCC(c1ccccc1)(COC(=O)N(C)C)CO,-3.135419596,2.0249,251.321
C3271,BCKXLBQYZLBQEK-KVVVOXFISA-M,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],-4.766761635,4.7738,304.443
C5488,UFGACSXJDNIRCR-MIXIOINYSA-N,COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2O)N(CC1)C.Cl,-3.047960641,3.6142,323.858
C3761,QXOWEHJVUGQSBP-UHFFFAOYSA-N,Fc1ccc(cc1)C(=O)CCN1CCN2C(C1)CCc1c2cccc1.Cl.Cl,-4.279749315,5.1424,411.34
C6013,VBLYWGDAYORRDM-UHFFFAOYSA-N,CCC1=NCCS1,-2.70732142,0.9773,115.197
C1346,PCWGTDULNUVNBN-UHFFFAOYSA-N,OCCCC(C)C,-1.14,1.4149,102.175
C6028,PQGFVOURRHRXKN-AMDVSUOASA-N,N/C(=N\C[C@H]1CC2CC1CC2)/COS(=S)(=O)O,-2.696457819,3.1473,278.392
C926,KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,-2.3900001,2.3392,130.228
C7049,SVAAQXJOGYYYEY-UHFFFAOYSA-N,O=C(Nc1ccccc1)COc1ccccc1C(=O)N,-2.058914746,2.5763,270.283
C3559,XJEARRIWKFUKML-YYNYCHCGSA-N,CN(C(=O)C1(CC[C@H](c2c1cccc2)[NH+](C)C)c1ccccc1)C.[Cl-],-4.475804313,-0.9557,358.905
C3723,BWYOJTILHQWIRQ-RRABGKBLSA-N,COc1cc(/C=C/C(=O)CCN2CCN(CC2)c2ccccc2C)cc(c1OC)OC.Cl,-4.3193077,4.6203,460.994
C7161,MDXJQOMLGMACCV-UHFFFAOYSA-M,CCC1(CC)C(=O)[N-]C(=S)NC1=O.[Na+],-1.988883493,0.7671,222.24
C1619,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,0.62,0.3887,60.095
C1462,YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,-0.63,1.4215,84.9326
C4832,MSIJLVMSKDXAQN-UHFFFAOYSA-N,CN1CCN(CC1)C(c1ccc(cc1)Cl)c1ccccc1.Cl,-3.519400706,4.3546,337.287
C545,SBHXYTNGIZCORC-ZDUSSCGKSA-N,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(c(c1)O)O,-3.6199999,2.2155,288.252
C4906,SGUAFYQXFOLMHL-UHFFFAOYSA-N,CC(CCc1ccccc1)NCC(c1ccc(c(c1)C(=O)N)O)O,-3.448233143,3.2266,328.405
C8600,VLSVEVCSHFHKEM-UHFFFAOYSA-N,COc1ccc(c(c1)C(=O)N)O,-0.793390475,1.2,167.162
C435,AAEVYOVXGOFMJO-UHFFFAOYSA-N,CSc1nc(NC(C)C)nc(n1)NC(C)C,-4.0999999,2.3801,241.356
C5732,WDTNZRVRIDKXCF-UHFFFAOYSA-N,OC(C[NH+]1CCC(CC1)(O)c1ccccc1)COc1ccccc1C(=O)C.[Cl-],-2.894109631,-0.2314,405.915
C1027,RMVRSNDYEFQCLF-UHFFFAOYSA-N,Sc1ccccc1,-2.1199999,1.9753,110.177
C6005,BTIWDWOBSODVCJ-UHFFFAOYSA-N,CCN(CC(C(=O)c1ccccc1)(C)C)CC.Cl,-2.710903551,4.0393,269.81
C2466,BOFKYYWJAOZDPB-FZNHGJLXSA-N,CCCCC(=O)O[C@@]1(CC[C@@H]2[C@]1(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C)C(=O)CO,-5.889026297,3.2987,444.56
C5583,GCFLVEVTCIKTNM-UHFFFAOYSA-N,Cc1ccc(cc1)C(=O)Nc1ccncc1,-2.986407676,2.7153,212.247
C5561,LMEKQMALGUDUQG-UHFFFAOYSA-N,Cn1cnc(c1Sc1ncnc2c1[nH]cn2)[N+](=O)[O-],-3.007842695,1.669,277.263
C8641,VMKPDXOZTSISIW-UHFFFAOYSA-N,ONC(=O)c1ccccc1N,-0.747711616,1.3599,152.151
C2814,NXWWSYGSSAHNRR-UHFFFAOYSA-N,O=C(N1CC=Cc2c1cccc2)OCc1ccccc1,-5.333851798,3.9216,265.307
C9681,KGQXYKPFNXVZOH-VILQZVERSA-N,Cn1ccn(/c/1=C\[NH+]=O)COCC#C.[Cl-],0.638907075,-4.696,229.663
C7879,HCJMNOSIAGSZBM-UHFFFAOYSA-N,OC(=O)c1c(C)cccc1O,-1.468778559,1.3988,152.147
C9360,OBOWRTHMVVMXTI-UHFFFAOYSA-L,CC[N+](CCOCCC[N+](C)(C)C)(CC)C.[I-].[I-],0.313166279,-4.4063,486.215
C9254,DXUUXWKFVDVHIK-UHFFFAOYSA-N,CC[N+](Cc1ccccc1Cl)(CCNC(=O)C(=O)NCC[N+](Cc1ccccc1Cl)(CC)CC)CC.[Cl-].[Cl-],0.215760851,-0.571,608.471
C8729,DLHWKJDYXPNWAI-UHFFFAOYSA-N,CCOC(C(Cl)(Cl)Cl)O,-0.612070527,1.7115,193.456
C178,AFFLGGQVNFXPEV-UHFFFAOYSA-N,CCCCCCCCC=C,-5.5100002,3.923,140.266
C8211,JJVUBVYJJVCKSL-UHFFFAOYSA-N,CN(C1CC(=C(c2c1cccc2)c1ccccc1)S(=O)(=O)O)C,-1.173349779,4.421,329.413
C4608,OHXHEMDRMDVRBI-VQHVLOKHSA-N,CCCCCOc1cc(/C=C/C(=O)NO)ccc1OC,-3.662223331,3.1737,279.332
C6111,KFZMXOLSYABOSE-UHFFFAOYSA-O,CC[N+](CCC(c1ccccc1)(c1ccccc1)C(=O)N)(C)C,-2.654537864,3.6447,311.441
C2969,INUNXTSAACVKJS-OAQYLSRUSA-N,C[C@@H](C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1,-5.144717505,3.4392,392.534
C867,IJDNQMDRQITEOD-UHFFFAOYSA-N,CCCC,-2.5699999,1.8064,58.1222
C7487,ILEDWLMCKZNDJK-UHFFFAOYSA-N,O=c1ccc2c(o1)cc(c(c2)O)O,-1.744940752,1.2042,178.142
C6912,RYKUJAHSVIVAQV-UHFFFAOYSA-N,FCCCCCl,-2.14430913,1.9749,110.558
C436,JOFWLTCLBGQGBO-UHFFFAOYSA-N,Clc1ccc2c(c1)C(=NCc1n2c(C)nn1)c1ccccc1Cl,-4.0799999,3.6691,343.21
C6599,WBUOVKBZJOIOAE-UHFFFAOYSA-N,N#Cc1cccc(c1)Cl,-2.345279631,2.21168,137.566
C5637,DALJCFUPKQGBLK-UHFFFAOYSA-M,O=C1[N-]C(=O)C(C(=O)N1)(c1ccccc1)c1ccccc1.[Na+],-2.951471176,1.7821,302.26
C6491,CEFMMQYDPGCYMG-UHFFFAOYSA-N,OC(=O)c1c(C)cccc1Cl,-2.418644602,2.3466,170.593
C2600,VVPAATLHWUDQMI-MZIRSVLISA-N,O[C@H]([C@H](C(=O)O)O)C(=O)O.COc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)CC=C(C)C,-5.66019207,2.5351,475.574
C8407,UZLYOWSQVRAOBL-UHFFFAOYSA-M,Oc1cccc(c1)C(=O)[O-].[Na+],-0.973953261,-0.2443,160.103
C7146,WJNNTTIXPJJQJD-UHFFFAOYSA-N,FCCCCSC#N,-2.000600446,1.95038,133.187
C7257,STJMRWALKKWQGH-UHFFFAOYSA-N,OC(c1cc(Cl)c(c(c1)Cl)N)CNC(C)(C)C,-1.921637908,3.9692,277.19
C5626,YLJREFDVOIBQDA-UHFFFAOYSA-N,Nc1c2CCCCc2nc2c1cccc2,-2.961796915,3.277,198.264
C7795,KQPYUDDGWXQXHS-UHFFFAOYSA-N,O=C1C=CC(=O)c2c1c(O)ccc2,-1.531581172,1.3274,174.153
C195,NFBOHOGPQUYFRF-UHFFFAOYSA-N,c1ccc2c(c1)Oc1c(O2)cccc1,-5.3099999,3.5846,184.191
C5163,SARMGXPVOFNNNG-UHFFFAOYSA-N,CC(/N=C(/N=C(/Nc1ccc(cc1)Cl)\N)\N)C.Cl,-3.269560822,4.0653,290.192
C454,DZMDPHNGKBEVRE-UHFFFAOYSA-N,CCCCCCCCl,-3.99,3.1956,134.647
C5123,LPJNJBLMADVVOB-RMKNXTFCSA-N,CCCCOc1ccc(cc1)/C=C/C(=O)NO,-3.296043588,2.775,235.279
C855,WSGCRAOTEDLMFQ-UHFFFAOYSA-N,CCCCC(=O)CCCC,-2.5899999,2.9359,142.239
C5004,RBOUBJPHXSVUTH-UHFFFAOYSA-N,O=c1ccc2c(c1)[nH]c1c2cc[nH]c1C.Cl,-3.383709897,3.1198,234.682
C3401,BZXAWUTXKYHQAW-UHFFFAOYSA-N,CCN(CCC(c1cccc2c1cccc2)(C(=O)N)C(C)C)C,-4.629686284,4.261,312.449
C4421,UFUVLHLTWXBHGZ-MGZQPHGTSA-N,CCC[C@H]1CN([C@@H](C1)C(=O)N[C@@H]([C@H]1O[C@H](SC)[C@@H]([C@H]([C@H]1O)O)OP(=O)(O)O)[C@@H](Cl)C)C,-3.787329757,0.8353,504.963
C5808,ZMROYCGIWPNZNJ-UHFFFAOYSA-N,CC(C(Cc1ccc(cc1)Cl)(O)C)CN(C)C.Cl,-2.846652258,3.6332,292.245
C1036,QYZLKGVUSQXAMU-UHFFFAOYSA-N,C=CCC=C,-2.0899999,1.7485,68.117
C591,BZNDWPRGXNILMS-MNDMWVCDSA-N,CCN[P@](=S)(O/C(=C/C(=O)OC(C)C)/C)OC,-3.4100001,3.3803,281.309
C8831,PZMVOUYYNKPMSI-UHFFFAOYSA-N,CNCC(=O)c1ccc(c(c1)O)O,-0.46448588,0.8908,181.189
C2738,NCCJZRNBNATXBI-UHFFFAOYSA-N,CN(CCCC1(OC(c2c1cc(Cl)cc2)(C)C)c1ccccc1)C.Cl,-5.449853078,5.9927,380.351
C7503,CVWHRDJDXCEZGH-UHFFFAOYSA-N,CC(=CCC1(C)C(=O)NC(=O)NC1=O)C,-1.733645357,1.3726,210.23
C5723,BDLSDHWCOJPHIE-KFUGMXNISA-N,COc1ccc2c3c1O[C@@H]1[C@@]43CC[N@@+]([C@H](C2)[C@@H]4C=C[C@@H]1O)([O-])C,-2.899263396,1.4725,315.364
C609,BHQCQFFYRZLCQQ-GLVFPOCZSA-N,O[C@H]1CC[C@]2([C@H](C1)C[C@@H]([C@@H]1[C@@H]2C[C@@H](O)[C@]2([C@H]1CC[C@@H]2[C@H](CCC(=O)O)C)C)O)C,-3.3699999,3.4487,408.571
C3064,KRXOSDJLAUJPIO-UHFFFAOYSA-M,CCCCCCCCCCCCOC(=O)CO[NH3+].[Cl-],-5.02546442,-0.372,295.846
C1726,SKEVFVQMAFMKEM-DYNGLPSQSA-N,CCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCCCC)CCCCCCC.[Cl-],-12.5769707,5.4438,517.229
C6081,IHTKSVYIDWAIPB-UHFFFAOYSA-N,CCCC(COC(=O)NC(=O)C)(COC(=O)NC(=O)C)CC,-2.667026218,2.5101,316.35
C9327,LDJNSLOKTFFLSL-UHFFFAOYSA-M,[O-]C(=O)c1ccccc1.[Li+],0.290543502,0.0501,128.054
C678,AKNNEGZIBPJZJG-MSOLQXFVSA-N,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@@H]1N(C)CCc2c1c(OC)c1c(c2)OCO1,-3.1400001,2.8197,413.421
C2514,BAINIUMDFURPJM-UHFFFAOYSA-N,O=c1[nH]c2c(n1CCCN1CCN(CC1)C(c1ccccc1)c1ccccc1)cccc2,-5.810177136,4.0027,426.553
C4549,HQFWVSGBVLEQGA-UHFFFAOYSA-N,CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N,-3.695019936,4.2991,306.443
C871,QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,-2.55,2.4491,157.008
C8794,JNMNEKBPYOEAJS-UHFFFAOYSA-N,CN(c1n[nH]c(cc1=O)C)C,-0.524161156,0.1443,153.182
C4129,AFQKQSFAMSDDFK-UHFFFAOYSA-N,OCCOc1c(cc(cc1c1ccccc1)Br)C(=O)NCCO,-4.020148903,2.6002,380.233
C830,DQMZLTXERSFNPB-UHFFFAOYSA-N,CCC1(C(=O)NCNC1=O)c1ccccc1,-2.6400001,1.1955,218.252
C4556,BGLQEQJSABKOQX-UHFFFAOYSA-N,CCCCOc1c(OC)cccc1C(=O)OCC[NH+](CC)CC.[Cl-],-3.693443446,-1.0404,359.888
C1716,FTQWRYSLUYAIRQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCNC(=O)CCCCCCCCCCCCCCCCC,-14.93986516,12.4811,578.996
C3095,RYDYQFGNLBBCKP-XMMWENQYSA-N,OC(=O)C(=O)[O-].CCOc1c(OC)cccc1C(=O)NCCO/[NH+]=C(/CC)\C,-4.993951035,-1.0814,398.408
C5436,PWCXFVBAQLRQEN-UHFFFAOYSA-N,CCCCSc1ccc(cc1)CC(=O)NO,-3.077972571,3.0176,239.334
C4090,QOVTVIYTBRHADL-UHFFFAOYSA-N,ClC(=C(c1cc(N)c(cc1S(=O)(=O)N)S(=O)(=O)N)Cl)Cl,-4.054303291,5.0495,380.656
C8845,SSBJNXYJAHFKJQ-UHFFFAOYSA-N,CC(CN1CCCCC1)(O)C,-0.448421959,1.1811,157.253
C1714,BDIWFCKBPZPBQT-UHFFFAOYSA-N,CCCC[Sn](S[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC,-15.67628661,10.4112,612.153
C9610,WXMKPNITSTVMEF-UHFFFAOYSA-M,[O-]C(=O)c1ccccc1.[Na+],0.586395742,0.0501,144.103
